01_20140104_03_04,4.0
01_20140104_03_05,
01_20140104_03_06,5.0
01_20140104_04_01,5.0
01_20140104_04_02,4.0
01_20140104_04_03,6.0
01_20140104_04_04,1.0
01_20140104_04_05,2.0
01_20140104_04_06,3.0
01_20140104_05_01,1.0
01_20140104_05_02,5.0
01_20140104_05_03,2.0
01_20140104_05_04,4.0
01_20140104_05_05,6.0
01_20140104_05_06,3.0
01_20140104_06_01,1.0
01_20140104_06_02,3.0
01_20140104_06_03,4.0
01_20140104_06_04,2.0
01_20140104_06_05,5.0
01_20140104_06_06,6.0
01_20140104_07_01,3.0
01_20140104_07_02,1.0
01_20140104_07_03,4.0
01_20140104_07_04,5.0
01_20140104_07_05,6.0
01_20140104_07_06,2.0
01_20140104_08_01,2.0
01_20140104_08_02,4.0
01_20140104_08_03,5.0
01_20140104_08_04,6.0
01_20140104_08_05,1.0
01_20140104_08_06,3.0
01_20140104_09_01,6.0
01_20140104_09_02,2.0
01_20140104_09_03,5.0
01_20140104_09_04,4.0
01_20140104_09_05,1.0
01_20140104_09_06,3.0
01_20140104_10_01,6.0
01_20140104_10_02,3.0
01_20140104_10_03,5.0
01_20140104_10_04,2.0
01_20140104_10_05,1.0
01_20140104_10_06,4.0
01_20140104_11_01,2.0
01_20140104_11_02,5.0
01_20140104_11_03,1.0
01_20140104_11_04,3.0
01_20140104_11_05,6.0
01_20140104_11_06,4.0
01_20140104_12_01,
01_20140104_12_02,5.0
01_20140104_12_03,3.0
01_20140104_12_04,2.0
01_20140104_12_05,1.0
01_20140104_12_06,4.0
01_20140105_01_01,1.0
01_20140105_01_02,4.0
01_20140105_01_03,3.0
01_20140105_01_04,2.0
01_20140105_01_05,5.0
01_20140105_01_06,6.0
01_20140105_02_01,6.0
01_20140105_02_02,4.0
01_20140105_02_03,1.0
01_20140105_02_04,2.0
01_20140105_02_05,3.0
01_20140105_02_06,5.0
01_20140105_03_01,4.0
01_20140105_03_02,3.0
01_20140105_03_03,5.0
01_20140105_03_04,2.0
01_20140105_03_05,6.0
